post_id,platform,post_type,post_time,likes,comments,shares,post_day,sentiment_score
1,Facebook,image,8/17/2023 14:45,2121,474,628,Thursday,positive
2,Facebook,carousel,5/14/2023 0:45,3660,432,694,Sunday,neutral
3,Instagram,poll,2/21/2023 16:15,4955,408,688,Tuesday,negative
4,Twitter,image,11/16/2023 0:45,1183,90,187,Thursday,negative
5,Twitter,video,5/23/2023 0:30,3499,247,286,Tuesday,positive
6,Instagram,carousel,5/5/2023 20:00,256,186,211,Friday,neutral
7,Instagram,image,2/26/2023 11:45,1982,30,906,Sunday,positive
8,Instagram,text,10/28/2023 19:30,1274,45,216,Saturday,neutral
9,Facebook,video,5/2/2023 6:15,317,249,221,Tuesday,neutral
10,Twitter,carousel,5/11/2023 11:00,1878,225,438,Thursday,neutral
11,Twitter,text,12/8/2023 2:15,1446,44,52,Friday,negative
12,Twitter,video,6/15/2023 3:15,304,42,89,Thursday,positive
13,Facebook,carousel,11/11/2023 15:45,45,78,375,Saturday,negative
14,Twitter,text,9/30/2023 10:30,1333,144,123,Saturday,positive
15,Facebook,carousel,1/9/2023 20:00,889,314,262,Monday,positive
16,Twitter,image,2/10/2023 13:00,2348,154,18,Friday,neutral
17,Instagram,poll,7/5/2023 5:15,2872,10,736,Wednesday,positive
18,Twitter,text,7/23/2023 5:45,512,123,338,Sunday,neutral
19,Twitter,text,11/20/2023 2:00,2013,122,183,Monday,positive
20,Facebook,image,2/2/2023 16:00,455,86,79,Thursday,positive
21,Twitter,poll,5/2/2023 6:15,559,136,55,Tuesday,neutral
22,Twitter,carousel,1/30/2023 13:30,1961,44,439,Monday,positive
23,Twitter,text,10/2/2023 12:15,332,109,348,Monday,positive
24,Instagram,carousel,1/1/2023 20:00,5000,80,399,Sunday,positive
25,Twitter,poll,5/17/2023 0:15,898,130,480,Wednesday,positive
26,Facebook,carousel,10/5/2023 6:30,1992,70,515,Thursday,negative
27,Instagram,text,10/6/2023 10:00,3161,162,137,Friday,positive
